timestamp,TGS2611-5.65mapped,TGS2611-5.65slave,TGS2611-5.65master
6.31628083169744e-14,38.5808407942284,47.41,38.91
2.000000000000063,38.58236717849948,47.41,38.84
4.000000000000063,38.583893562770555,47.41,38.76
6.000000000000063,38.6749346588612,47.52,38.84
8.000000000000064,38.75783805387732,47.62,38.68
10.000000000000064,38.848879149967956,47.73,38.76
12.000000000000064,38.85040553423904,47.73,38.68
14.000000000000064,38.94144663032968,47.84,38.68
16.000000000000064,38.94297301460075,47.84,38.76
18.000000000000064,38.944499398871834,47.84,38.76
20.000000000000064,38.946025783142915,47.84,38.84
22.000000000000064,38.858037455594435,47.73,38.91
24.000000000000064,38.770049128045954,47.62,38.91
26.000000000000064,38.771575512317035,47.62,38.91
28.000000000000064,38.69172488584307,47.52,38.91
30.000000000000064,38.60373655829459,47.41,38.91
32.000000000000064,38.69477765438523,47.52,38.91
34.000000000000064,38.69630403865631,47.52,38.91
36.000000000000064,38.69783042292739,47.52,38.91
38.000000000000064,38.78073381794351,47.62,38.91
40.000000000000064,38.782260202214594,47.62,38.99
42.000000000000064,38.783786586485675,47.62,38.99
44.000000000000064,38.8748276825763,47.73,38.91
46.000000000000064,38.78683935502783,47.62,38.84
48.000000000000064,38.70698872855387,47.52,38.91
50.000000000000064,38.78989212356999,47.62,38.91
52.000000000000064,39.05996264329974,47.95,38.99
54.000000000000064,39.411410173774534,48.38,39.07
56.000000000000064,39.59196598168472,48.6,39.38
58.000000000000064,39.15405650793253,48.06,39.62
60.000000000000064,38.71614703418034,47.52,39.46
62.000000000000064,38.546781695886814,47.31,39.15
64.00000000000006,38.37741635759328,47.1,38.84
66.00000000000006,38.378942741864364,47.1,38.68
68.00000000000006,38.29095441431589,46.99,38.53
70.00000000000006,38.211103787841914,46.89,38.46
72.00000000000006,38.212630172112995,46.89,38.38
74.00000000000006,38.12464184456452,46.78,38.38
76.00000000000006,38.1261682288356,46.78,38.38
78.00000000000006,38.046317602361626,46.68,38.3
80.00000000000006,38.04784398663271,46.68,38.46
82.00000000000006,38.04937037090379,46.68,38.38
84.00000000000006,38.13227376591992,46.78,38.3
86.00000000000006,38.133800150191,46.78,38.3
88.00000000000006,38.135326534462074,46.78,38.3
90.00000000000006,38.136852918733155,46.78,38.3
92.00000000000006,38.22789401482379,46.89,38.3
94.00000000000006,38.139905687275316,46.78,38.3
96.00000000000006,38.1414320715464,46.78,38.3
98.00000000000006,38.14295845581747,46.78,38.3
100.00000000000006,38.233999551908106,46.89,38.23
102.00000000000006,38.14601122435963,46.78,38.23
104.00000000000006,38.147537608630714,46.78,38.3
106.00000000000006,38.14906399290179,46.78,38.23
108.00000000000006,38.24010508899242,46.89,38.23
110.00000000000006,38.2416314732635,46.89,38.3
112.00000000000006,38.324534868279635,46.99,38.38
114.00000000000006,38.326061252550716,46.99,38.3
116.00000000000006,38.3275876368218,46.99,38.23
118.00000000000006,38.41862873291243,47.1,38.3
120.00000000000006,38.2492633946189,46.89,38.23
122.00000000000006,38.25078977888998,46.89,38.23
124.00000000000006,38.33369317390611,46.99,38.23
126.00000000000006,38.335219558177194,46.99,38.23
128.00000000000006,38.33674594244827,46.99,38.23
130.00000000000006,38.4277870385389,47.1,38.3
132.00000000000006,38.42931342280998,47.1,38.23
134.00000000000006,38.34132509526151,46.99,38.23
136.00000000000006,38.342851479532584,46.99,38.3
138.00000000000006,38.344377863803665,46.99,38.38
140.00000000000006,38.345904248074746,46.99,38.3
142.00000000000006,38.266053621600776,46.89,38.3
144.00000000000006,38.26758000587186,46.89,38.23
146.00000000000006,38.26910639014293,46.89,38.16
148.00000000000006,38.27063277441401,46.89,38.16
150.00000000000006,38.27215915868509,46.89,38.01
