1695,31.685054,81.412985
7290,4659087,1946697,549453,3810062,8148461,8149929,7341980,31.644770,81.408408
7300,4658977,1946670,549474,3810330,8148441,8149691,7341829,31.705196,81.426719
7310,4658974,1946529,549424,3810161,8148284,8149881,7341663,31.644770,81.383993
7320,4658928,1946373,549400,3810144,8148478,8149683,7341634,31.785763,81.374838
7330,4658659,1946302,549368,3810069,8148405,8149796,7341770,31.685054,81.364157
7340,4658665,1946292,549429,3809934,8148558,8149909,7342130,31.644770,81.371786
7350,4658615,1946046,549423,3810177,8148365,8149810,7341945,31.805905,81.376364
7360,4658409,1946252,549400,3810225,8148345,8149569,7342003,31.685054,81.339742
7370,4658268,1946132,549464,3810173,8148765,8149847,7342336,31.725338,81.342794
7380,4658106,1945986,549445,3810095,8148504,8149882,7342251,31.725338,81.330587
7390,4658075,1946049,549415,3810363,8148420,8149819,7342246,31.644770,81.335164
7400,4658122,1945908,549429,3810405,8148592,8149766,7342221,31.664912,81.336690
7410,4657788,1945952,549423,3810224,8148406,8149831,7342494,31.725338,81.318379
7420,4657601,1945832,549412,3810345,8148294,8149721,7342415,31.685054,81.315328
7430,4657857,1945809,549431,3810109,8148258,8149491,7342234,31.664912,81.324483
7440,4657789,1945847,549380,3810323,8148557,8149874,7342059,31.685054,81.303120
7450,4657346,1945707,549419,3810193,8148582,8149805,7342451,31.725338,81.293965
7460,4657301,1945492,549394,3810230,8148575,8150050,7342767,31.644770,81.286336
7470,4657091,1945503,549454,3810244,8148432,8149623,7342841,31.705196,81.329061
7480,4657079,1945467,549433,3810225,8148450,8149646,7342790,31.644770,81.261921
7490,4657169,1945605,549469,3810237,8148615,8149937,7342653,31.624628,81.271077
7500,4657179,1945341,549471,3810133,8148411,8149653,7342526,31.664912,81.263447
7510,4656633,1945229,549413,3810102,8148590,8150130,7343269,31.664912,81.239033
7520,4656720,1945199,549501,3810185,8148588,8149975,7343341,31.685054,81.229877
7530,4656652,1945159,549485,3809959,8148686,8149767,7343013,31.745480,81.272602
7540,4656592,1945090,549507,3810039,8148815,8150167,7343048,31.664912,81.239033
7550,4656608,1945129,549435,3810212,8148795,8149969,7343071,31.705196,81.219196
7560,4656458,1944955,549417,3810200,8148668,8150011,7342966,31.705196,81.255818
7570,4656093,1944850,549448,3809968,8148772,8150047,7343104,31.664912,81.202411
7580,4656149,1944774,549438,3810123,8148614,8149978,7343089,31.685054,81.229877
7590,4656128,1944730,549398,3810139,8148641,8149987,7343110,31.664912,81.202411
7600,4655809,1944566,549446,3810063,8148588,8149927,7343190,31.644770,81.200885
7610,4655728,1944517,549452,3810206,8148544,8150073,7343930,31.624628,81.222248
7620,4655461,1944547,549433,3810062,8148712,8150051,7343522,31.664912,81.239033
7630,4655384,1944324,549453,3810143,8148526,8149896,7342903,31.705196,81.182574
